"TargetObjectName","DisplayName","State","StateDescription","StartTime","EndTime","TargetObjectType"
"WinSrv01","Finalize protection on the recovery virtual machine","Succeeded","Completed","26.07.2024 14:29:49","26.07.2024 14:31:52","ProtectionEntity"
"WinSrv01","Finalize protection on the recovery virtual machine","Succeeded","Completed","26.07.2024 14:29:49","26.07.2024 14:30:51","ProtectionEntity"
"WinSrv01","Finalize protection on the recovery virtual machine","Succeeded","Completed","26.07.2024 14:29:48","26.07.2024 14:30:45","ProtectionEntity"
"WinSrv01","Finalize protection on the primary virtual machine","Succeeded","Completed","26.07.2024 14:15:57","26.07.2024 14:15:58","ProtectionEntity"
"WinSrv01","Enable replication","Succeeded","Completed","26.07.2024 14:07:54","26.07.2024 14:08:35","ProtectionEntity"
"RedHat01","Planned failover","Succeeded","Completed","26.07.2024 14:05:54","26.07.2024 14:16:32","ProtectionEntity"
"RedHat01","Test failover cleanup","Succeeded","Completed","26.07.2024 13:14:05","26.07.2024 13:15:48","ProtectionEntity"
"RedHat01","Test failover","Succeeded","Completed","26.07.2024 09:44:07","26.07.2024 09:52:28","ProtectionEntity"
"RedHat01","Test failover cleanup","Succeeded","Completed","26.07.2024 09:27:03","26.07.2024 09:28:15","ProtectionEntity"
"RedHat01","Test failover","Succeeded","Completed","25.07.2024 11:51:54","25.07.2024 11:59:13","ProtectionEntity"
"RedHat01","Finalize protection on the recovery virtual machine","Succeeded","Completed","25.07.2024 10:29:53","25.07.2024 10:30:55","ProtectionEntity"
"RedHat01","Finalize protection on the recovery virtual machine","Succeeded","Completed","25.07.2024 10:29:52","25.07.2024 10:30:53","ProtectionEntity"
"RedHat01","Finalize protection on the primary virtual machine","Succeeded","Completed","25.07.2024 10:21:56","25.07.2024 10:21:58","ProtectionEntity"
"RedHat01","Enable replication","Succeeded","Completed","25.07.2024 10:19:45","25.07.2024 10:20:46","ProtectionEntity"
"RedHat02","Planned failover","Succeeded","Completed","24.07.2024 10:22:48","24.07.2024 10:32:15","ProtectionEntity"
"RedHat02","Update the virtual machine","Succeeded","Completed","24.07.2024 10:21:21","24.07.2024 10:21:28","ProtectionEntity"
"RedHat02","Finalize protection on the recovery virtual machine","Succeeded","Completed","23.07.2024 21:29:26","23.07.2024 21:30:28","ProtectionEntity"
"RedHat02","Finalize protection on the recovery virtual machine","Succeeded","Completed","23.07.2024 21:29:25","23.07.2024 21:30:09","ProtectionEntity"
"RedHat02","Finalize protection on the primary virtual machine","Succeeded","Completed","23.07.2024 21:21:26","23.07.2024 21:21:27","ProtectionEntity"
"RedHat01","Disable replication","Succeeded","Completed","23.07.2024 21:20:56","23.07.2024 21:21:36","ProtectionEntity"
"RedHat02","Enable replication","Succeeded","Completed","23.07.2024 21:19:47","23.07.2024 21:20:20","ProtectionEntity"
"RedHat01","Enable replication","Failed","Failed","23.07.2024 21:18:51","23.07.2024 21:19:19","ProtectionEntity"
